Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Record ID#,Invoice Amount
Gallier Hall Exterior Facade Repairs (St. Charles),"Battco Construction & Maintenance, Inc.",General Contractor,no,Express Pay,08 State to Send to Hancock,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-15-2015,09-24-2015,09-29-2015,09-30-2015,10-01-2015,10-06-2015,10-06-2015,11-18-2015,18428,"$78,071"
Gert Town Community Pool,"Ardaman & Associates, Inc",Testing,no,Express Pay,08 State to Send to Hancock,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-15-2015,09-15-2015,09-24-2015,09-24-2015,09-28-2015,12-02-2015,12-02-2015,12-02-2015,18339,"$2,996.25"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2015,07-31-2015,09-11-2015,09-28-2015,10-01-2015,11-02-2015,11-02-2015,11-03-2015,18444,"$32,533.2"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2015,08-26-2015,09-09-2015,09-16-2015,10-05-2016,10-11-2016,10-11-2016,10-12-2016,18255,$664.05
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2015,08-26-2015,08-31-2015,09-03-2016,10-05-2016,10-11-2016,10-11-2016,10-11-2016,18182,"$3,731.47"
Sanchez (Copelin-Byrd) Center,"Gibbs Construction, Co.",General Contractor,no,Express Pay,08 State to Send to Hancock,8 Paid,04 D-CDBG Project Manager to Approve,Fully Paid,06-30-2015,07-17-2015,08-05-2015,08-07-2015,09-28-2015,11-18-2015,11-18-2015,12-03-2015,19233,"$570,414.87"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-26-2015,07-23-2015,07-30-2015,08-13-2015,10-05-2016,10-11-2016,10-11-2016,10-12-2016,18113,$612.92
PDU Software & Business Applications,Oracle Corporation,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-18-2015,07-18-2015,07-27-2015,07-29-2015,07-29-2015,07-30-2015,07-30-2015,08-03-2015,17864,$555.86
Document Control Buildout,"Geocent, LLC",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2015,02-12-2015,07-15-2015,07-15-2015,07-15-2015,07-17-2015,07-17-2015,07-20-2015,17808,"$5,160"
Document Control Buildout,"Geocent, LLC",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2015,03-09-2015,07-15-2015,07-15-2015,07-15-2015,07-17-2015,07-17-2015,07-20-2015,17809,"$17,832.5"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-29-2015,06-17-2015,07-02-2015,07-02-2015,10-05-2016,10-11-2016,10-11-2016,10-12-2016,17751,$244.89
PDU Renovations,Gordian Group,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2015,05-31-2015,06-19-2015,06-19-2015,06-19-2015,06-22-2015,06-22-2015,06-24-2015,17640,$427.69
PDU Renovations,FHP Tectonics Corp.,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-28-2015,05-28-2015,06-19-2015,06-19-2015,06-19-2015,06-22-2015,06-22-2015,06-24-2015,17641,"$21,933.02"
NOPD Mounted Division Horse Stables,Associated Office Systems,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-16-2015,04-16-2015,05-26-2015,05-27-2015,05-27-2015,05-27-2015,05-27-2015,06-03-2015,17446,"$12,842.77"
Timecard Management System,"Data Management, Inc",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2016,04-09-2015,05-11-2015,05-11-2015,05-14-2015,05-20-2015,05-20-2015,05-21-2015,17359,"$6,120"
PDU Software & Business Applications,Oracle Corporation,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-18-2015,04-18-2015,04-29-2015,04-29-2015,04-30-2015,05-01-2015,05-01-2015,05-04-2015,17192,$673.61
NOPD Police Vehicles,Crescent Decal Specialists,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-20-2015,02-20-2015,04-29-2015,04-29-2015,04-30-2015,09-02-2015,09-02-2015,09-03-2015,17193,"$1,180"
Document Control Buildout,"Geocent, LLC",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-09-2015,04-09-2015,04-24-2015,07-15-2015,07-15-2015,07-17-2015,07-17-2015,07-20-2015,17174,"$3,432.5"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-27-2015,04-15-2015,04-23-2015,04-24-2015,10-05-2016,10-11-2016,10-11-2016,10-12-2016,17182,"$3,656.94"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-27-2015,03-24-2015,03-31-2015,04-17-2015,10-05-2016,10-11-2016,10-11-2016,10-12-2016,17128,"$3,560.77"
NOPD Police Vehicles,"Vehicle Parts & Equip Co, Inc",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-23-2015,03-23-2015,03-23-2015,03-23-2015,03-23-2015,04-02-2015,04-02-2015,04-06-2015,16909,"$11,670"
NOPD Police Vehicles,Crescent Decal Specialists,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-11-2014,12-11-2014,03-13-2015,03-13-2015,03-18-2015,04-02-2015,04-02-2015,04-06-2015,16802,"$4,790"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-30-2015,02-13-2015,03-05-2015,03-05-2015,10-05-2016,10-11-2016,10-11-2016,10-12-2016,16792,"$3,970.7"
PDU Software & Business Applications,"LCP Tracker, Inc.",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2015,10-01-2014,02-23-2015,02-23-2015,03-10-2015,03-12-2015,03-12-2015,03-13-2015,16657,"$18,700"
PDU Software & Business Applications,Intuit,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-16-2015,01-16-2015,02-10-2015,03-02-2015,03-12-2015,03-23-2015,03-23-2015,03-24-2015,16794,$203.83
PDU Software & Business Applications,Oracle Corporation,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-18-2015,01-18-2015,01-28-2015,01-30-2015,01-30-2015,02-04-2015,02-04-2015,02-04-2015,16505,$673.61
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-15-2014,12-15-2014,01-23-2015,09-08-2016,10-05-2016,10-11-2016,10-11-2016,10-12-2016,16439,"$5,745.47"
New Orleans East Hospital Hazard Mitigation and Equipment,Orleans Parish Hospital Service District A,Government,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-14-2014,11-14-2014,01-21-2015,01-21-2015,01-27-2015,01-27-2015,01-27-2015,01-28-2015,16422,"$1,767,798.84"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-26-2014,10-27-2014,01-08-2015,09-08-2016,10-05-2016,10-11-2016,10-11-2016,10-12-2016,16403,$728.1
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-28-2014,12-15-2014,01-08-2015,09-08-2016,10-05-2016,10-11-2016,10-11-2016,10-12-2016,16409,"$3,893.91"
NOPD Police Vehicles,Headquarters 911,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-17-2014,12-17-2014,12-18-2014,12-17-2014,12-18-2014,12-18-2014,12-18-2014,12-19-2014,16249,"$27,200"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2014,09-30-2014,12-18-2014,12-18-2014,10-05-2016,10-11-2016,10-11-2016,10-12-2016,16256,"$6,593.15"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2014,11-27-2014,12-18-2014,12-18-2014,10-05-2016,10-11-2016,10-11-2016,10-12-2016,16406,"$3,761.82"
NOPD Police Vehicles,Crescent Decal Specialists,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-30-2014,10-30-2014,11-19-2014,11-19-2014,12-18-2014,12-18-2014,12-18-2014,12-19-2014,16065,"$4,720"
PDU Software & Business Applications,Oracle Corporation,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-18-2014,10-18-2014,10-27-2014,01-30-2015,01-30-2015,02-04-2015,02-04-2015,02-04-2015,16504,$673.61
NOPD Police Vehicles,Headquarters 911,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-15-2014,10-15-2014,10-16-2014,10-16-2014,10-20-2014,11-06-2014,11-06-2014,11-06-2014,15722,"$15,300"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-29-2014,09-27-2014,10-03-2014,09-08-2016,10-05-2016,10-11-2016,10-11-2016,10-12-2016,16335,"$3,654.49"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-25-2014,08-27-2014,09-19-2014,09-08-2016,10-05-2016,10-11-2016,10-11-2016,10-12-2016,15534,"$6,031.71"
NOPD Police Vehicles,Crescent Decal Specialists,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2014,07-31-2014,09-17-2014,09-17-2014,09-19-2014,10-08-2014,10-08-2014,10-09-2014,15493,"$19,160"
NOPD Police Vehicles,Bill Hood Ford Inc.,Vehicles,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-27-2014,08-27-2014,09-17-2014,09-17-2014,09-19-2014,10-08-2014,10-08-2014,10-09-2014,15494,"$1,007,840"
NOPD Police Vehicles,Headquarters 911,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-04-2014,09-04-2014,09-15-2014,09-15-2014,09-17-2014,10-08-2014,10-08-2014,10-09-2014,15475,"$94,704"
NOPD Police Vehicles,Bill Hood Ford Inc.,Vehicles,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-04-2014,09-04-2014,09-08-2014,09-08-2014,09-10-2014,09-25-2014,09-25-2014,09-25-2014,15429,"$759,870"
NOPD Police Vehicles,"Vehicle Parts & Equip Co, Inc",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-04-2014,09-04-2014,09-08-2014,09-08-2014,09-11-2014,09-25-2014,09-25-2014,09-25-2014,15441,"$46,680"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2014,06-27-2014,08-29-2014,09-08-2016,10-05-2016,10-11-2016,10-11-2016,10-12-2016,15358,"$3,393.72"
Document Control Buildout,"Geocent, LLC",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-20-2014,08-08-2014,08-13-2014,12-22-2014,12-22-2014,12-24-2014,12-24-2014,12-29-2014,15218,"$3,010"
NOPD Police Vehicles,Headquarters 911,Other,no,Express Pay,04 Department to Deliver to Finance,4 Department to Deliver to Finance,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-08-2014,08-08-2014,08-08-2014,08-08-2014,08-11-2014,,,09-02-2014,15173,"$26,616.6"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2014,06-27-2014,08-07-2014,09-08-2016,10-05-2016,10-11-2016,10-11-2016,10-12-2016,15177,"$2,388.02"
PDU Software & Business Applications,Oracle Corporation,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-18-2014,07-18-2014,08-04-2014,01-30-2015,01-30-2015,02-04-2015,02-04-2015,02-04-2015,16502,$595.1
PDU Software & Business Applications,Oracle Corporation,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-18-2014,07-18-2014,08-04-2014,01-30-2015,01-30-2015,02-04-2015,02-04-2015,02-04-2015,16503,$117.72
Document Control Buildout,"Geocent, LLC",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-30-2014,07-08-2014,07-10-2014,12-08-2014,12-12-2014,12-12-2014,12-12-2014,12-17-2014,14969,"$10,375"
Document Control Buildout,"Geocent, LLC",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2014,04-08-2014,07-10-2014,07-11-2014,07-21-2014,07-24-2014,07-24-2014,07-28-2014,14971,"$19,045"
Document Control Buildout,"Geocent, LLC",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-30-2014,05-12-2014,07-10-2014,07-11-2014,07-21-2014,07-24-2014,07-24-2014,07-28-2014,14972,"$12,035"
Document Control Buildout,"Geocent, LLC",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2014,06-10-2014,07-10-2014,07-11-2014,07-21-2014,07-24-2014,07-24-2014,07-28-2014,14973,"$1,500"
New Orleans East Hospital Hazard Mitigation and Equipment,Orleans Parish Hospital Service District A,Government,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-15-2014,04-15-2014,05-19-2014,05-19-2014,05-21-2014,05-22-2014,05-22-2014,05-29-2014,14451,"$547,134.41"
Document Control Buildout,"Geocent, LLC",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2014,03-10-2014,03-27-2014,03-27-2014,03-31-2014,04-10-2014,04-10-2014,04-11-2014,13955,"$1,435"
New Orleans East Hospital Hazard Mitigation and Equipment,Orleans Parish Hospital Service District A,Government,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-16-2014,01-16-2014,03-11-2014,03-11-2014,03-11-2014,03-12-2014,03-12-2014,03-13-2014,13807,"$1,678,861"
New Orleans East Hospital Hazard Mitigation and Equipment,Orleans Parish Hospital Service District A,Government,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-16-2014,01-16-2014,03-11-2014,04-25-2014,04-25-2014,04-28-2014,04-28-2014,04-30-2014,14192,"$192,680.13"
NOPD Police Vehicles,Crescent Decal Specialists,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-23-2013,12-23-2013,02-06-2014,02-06-2014,02-07-2014,05-22-2014,05-22-2014,05-22-2014,13524,"$3,422"
NOPD Police Vehicles,Crescent Decal Specialists,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-14-2014,01-14-2014,02-06-2014,02-06-2014,02-10-2014,05-22-2014,05-22-2014,05-22-2014,13525,$708
NOPD Police Vehicles,Headquarters 911,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-27-2013,12-27-2013,12-31-2013,12-31-2013,12-31-2013,02-13-2014,02-13-2014,02-14-2014,13304,"$17,000"
NOFD Engine Nos. 22 and 39,"Kemper Construction Company, Inc.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-09-2013,12-09-2013,12-17-2013,12-17-2013,01-02-2014,01-16-2014,01-16-2014,01-17-2014,13230,"$130,820.7"
NOPD Fifth District Police Station,Construction Masters,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2013,11-30-2013,12-13-2013,12-13-2013,01-03-2014,01-23-2014,01-23-2014,01-30-2014,13202,"$234,168.82"
NOPD Police Vehicles,Crescent Decal Specialists,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2013,09-30-2013,12-10-2013,12-10-2013,12-12-2013,01-07-2014,01-07-2014,01-08-2014,13190,"$5,310"
NOPD Police Vehicles,Headquarters 911,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-03-2013,12-03-2013,12-04-2013,12-04-2013,12-04-2013,01-07-2014,01-07-2014,01-08-2014,13109,"$17,000"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-22-2013,11-22-2013,11-27-2013,11-27-2013,12-02-2013,01-08-2014,01-08-2014,01-10-2014,13092,"$252,435"
MTA East Range Repairs,"Crescent Commercial Construction, LLC",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-22-2013,11-22-2013,11-22-2013,11-22-2013,12-03-2013,12-26-2013,12-26-2013,12-26-2013,13053,"$3,766"
NOPD Police Vehicles,Hixson Autoplex of Alexandria,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-11-2013,11-11-2013,11-19-2013,11-19-2013,11-21-2013,12-05-2013,12-05-2013,12-05-2013,13030,"$252,435"
NOFD Engine Nos. 22 and 39,"Kemper Construction Company, Inc.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-12-2013,11-12-2013,11-15-2013,11-18-2013,11-22-2013,01-13-2014,01-13-2014,01-13-2014,12982,"$85,396.07"
